,player_name,position,age,birth_country,nationality,height_cms,weight_kgs,rating,team_name,league,season,goals_scored,goals_conceded,assists,saves,total_shots,shots_on_target,total_passes,key_passes,passing_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribbles_attempts,successful_dribbles,fouls_drawn,fouls_committed,yellow_card,red_card,yellowred_card,penalties_won,penalties_commited,penalties_scored,penalties_missed,penalties_saved,appearences,minutes_played,lineups,subbed_on,subbed_off,bench,performance
1679,A. Disasi,Defender,22,France,France,190.0,86.0,6.974074000000001,Reims,Ligue 1,2019-2020,1,0,0,0,15,3,1243,5,82,31,22,26,0,0,7,4,24,37,3,0,0,0,2,0,0,0,27,2430,27,0,0,0,
1681,A. Disasi,Defender,22,France,France,190.0,86.0,7.0615380000000005,Reims,Ligue 2,2017-2018,1,0,0,0,1,1,383,2,75,4,4,27,137,88,19,15,6,21,1,0,0,0,1,0,0,0,13,1078,11,2,0,24,
1696,D. Maresic,Defender,21,Austria,Austria,183.0,74.0,7.085294,Sturm Graz,Tipp3 Bundesliga,2017-2018,1,0,1,0,12,1,1328,5,80,19,5,100,225,143,4,1,25,18,2,0,0,0,0,0,0,0,34,3010,34,0,4,1,
1710,K. Sierhuis,Attacker,22,Greece,Netherlands,180.0,83.0,6.993333,Groningen,Eredivisie,2019-2020,6,0,1,0,27,13,107,10,54,4,0,1,0,0,11,5,10,6,0,0,0,2,0,0,0,0,16,1048,14,2,13,4,
2060,A. Lafont,Goalkeeper,21,Burkina Faso,France,193.0,82.0,6.934614999999999,Nantes,Ligue 1,2019-2020,0,27,0,66,0,0,421,0,57,1,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,2,27,2430,27,0,0,0,
2101,I. Louza,Midfielder,21,France,France,178.0,65.0,7.047826,Nantes,Ligue 1,2019-2020,2,0,2,0,35,14,798,33,79,45,2,18,0,0,37,23,33,44,4,0,0,0,1,0,0,0,24,2012,22,2,5,4,
2264,J. Marcelin,Defender,20,France,France,197.0,82.0,7.08125,Auxerre,Ligue 2,2019-2020,0,0,0,0,10,4,554,2,84,25,8,16,0,0,11,9,19,12,4,0,0,0,0,0,0,0,16,1353,15,1,0,4,
2397,B. Kamara,Defender,21,France,France,184.0,68.0,7.021739,Marseille,Ligue 1,2019-2020,1,0,2,0,15,3,1068,8,83,52,12,35,0,0,23,13,30,23,7,1,0,0,1,0,0,0,24,2141,24,0,1,0,
2398,B. Kamara,Defender,21,France,France,184.0,68.0,6.9178570000000015,Marseille,Ligue 1,2018-2019,1,0,0,0,10,4,1156,7,80,34,13,45,258,160,14,9,30,23,6,0,0,0,1,0,0,0,31,2409,27,4,2,8,
2515,Bafodé Diakité,Defender,19,France,France,185.0,74.0,6.906666,Toulouse,Ligue 1,2019-2020,2,0,0,0,10,6,540,1,87,16,3,21,0,0,4,3,4,5,1,1,0,0,0,0,0,0,16,1368,16,0,1,0,
2633,A. Davies,Defender,20,Ghana,Canada,181.0,72.0,7.2,Bayern Munich,Bundesliga 1,2019-2020,3,0,5,0,12,5,1253,34,85,69,5,30,90,57,126,81,33,24,3,0,1,0,0,0,0,0,29,2233,24,5,3,9,
2792,S. Singh,Midfielder,21,New Zealand,New Zealand,175.0,71.0,7.188461,Wellington Phoenix,A-League,2018-2019,5,0,8,0,60,20,644,43,79,12,0,7,289,101,61,29,34,33,5,0,0,0,0,0,0,0,26,2031,22,4,11,4,
2811,J. Hoogma,Defender,22,Netherlands,Netherlands,190.0,81.0,7.0,Utrecht,Eredivisie,2019-2020,1,0,0,0,3,1,329,1,85,6,5,7,0,0,1,1,0,4,1,1,0,0,0,0,0,0,23,2059,23,0,0,1,
3343,K. Danso,Defender,22,Austria,Austria,190.0,89.0,6.906666,FC Augsburg,Bundesliga 1,2017-2018,2,0,0,0,9,4,362,3,68,2,0,20,133,70,11,5,17,18,2,0,0,0,0,0,0,0,16,1107,13,3,5,11,
3526,Matheus Santos Carneiro da Cunha,Attacker,21,Brazil,Brazil,184.0,75.0,7.25,RB Leipzig,UEFA Europa League,2018-2019,6,0,0,0,20,8,99,13,68,8,0,1,106,44,14,8,17,11,2,0,0,0,0,0,0,0,12,997,12,0,4,0,
3676,T. Handwerker,Defender,22,Germany,Germany,182.0,74.0,6.979411,FC Nurnberg,Bundesliga 2,2019-2020,1,0,1,0,20,7,912,40,64,56,12,47,145,83,48,29,34,24,4,0,0,0,0,0,0,0,27,2209,25,2,6,9,
4490,O. Kabak,Defender,20,Turkey,Turkey,186.0,86.0,7.029166,FC Schalke 04,Bundesliga 1,2019-2020,3,0,1,0,11,7,843,3,75,37,19,36,82,59,23,20,13,22,4,0,0,0,1,0,0,0,26,1775,21,5,3,9,
5185,Kai Havertz,Midfielder,21,Germany,Germany,188.0,83.0,6.996550999999998,Bayer Leverkusen,Bundesliga 1,2019-2020,12,0,5,0,58,25,1123,59,84,19,0,2,94,35,114,55,32,24,3,0,0,0,0,1,0,0,30,2462,29,1,9,2,
5186,Kai Havertz,Midfielder,21,Germany,Germany,188.0,83.0,7.2,Bayer Leverkusen,Bundesliga 1,2018-2019,17,0,3,0,86,42,1528,36,85,17,4,15,389,179,86,47,51,23,2,0,0,0,0,3,0,0,34,2899,33,1,6,1,
5187,Kai Havertz,Midfielder,21,Germany,Germany,188.0,83.0,7.023333,Bayer Leverkusen,Bundesliga 1,2017-2018,3,0,8,0,37,14,880,31,79,6,1,19,387,185,60,27,46,30,3,0,0,1,0,0,0,0,30,2139,22,8,4,11,
5260,E. Tapsoba,Defender,21,Burkina Faso,Burkina Faso,190.0,80.0,7.225,Guimaraes,UEFA Europa League,2019-2020,3,0,0,0,1,0,269,0,88,8,4,11,27,13,2,1,2,7,3,0,0,0,0,0,0,0,11,990,11,0,0,0,
5471,O. Mangala,Midfielder,22,Belgium,Belgium,178.0,78.0,6.944827,Hamburger SV,Bundesliga 2,2018-2019,0,0,2,0,29,7,1365,25,86,37,4,51,378,206,83,63,63,46,5,0,1,0,0,0,0,0,29,2473,28,1,6,1,
5487,N. González,Attacker,22,Argentina,Argentina,180.0,72.0,7.242307,VfB Stuttgart,Bundesliga 2,2019-2020,14,0,2,0,72,36,314,40,70,12,2,7,94,48,88,51,40,22,8,0,0,0,0,4,0,0,27,1866,21,6,11,8,
5589,D. Zagadou,Defender,21,France,France,196.0,90.0,7.308333,Borussia Dortmund,Bundesliga 1,2019-2020,1,0,1,0,4,3,692,6,81,14,8,15,2,2,7,6,1,5,1,0,0,0,0,0,0,0,15,978,10,5,0,15,
5590,D. Zagadou,Defender,21,France,France,196.0,90.0,6.99375,Borussia Dortmund,Bundesliga 1,2018-2019,2,0,0,0,10,3,915,2,81,10,11,25,118,79,13,13,4,13,4,0,0,0,1,0,0,0,17,1267,15,2,2,6,
5712,J. Sancho,Midfielder,20,England,England,180.0,76.0,7.593547999999998,Borussia Dortmund,Bundesliga 1,2019-2020,17,0,15,0,50,28,1267,68,83,13,0,14,49,23,141,80,17,8,2,0,0,0,0,0,0,0,32,2290,25,7,10,8,
5713,J. Sancho,Midfielder,20,England,England,180.0,76.0,7.2558820000000015,Borussia Dortmund,Bundesliga 1,2018-2019,12,0,14,0,40,22,1105,71,85,10,1,14,345,170,186,113,37,5,2,0,0,2,0,0,0,0,34,2462,26,8,9,8,
5719,E. Haaland,Attacker,20,England,Norway,191.0,87.0,7.385714,Borussia Dortmund,Bundesliga 1,2019-2020,13,0,1,0,32,20,150,8,73,3,4,3,37,17,21,11,7,9,0,0,0,1,0,0,0,0,15,1063,11,4,4,4,
5720,E. Haaland,Attacker,20,England,Norway,191.0,87.0,7.692307,Red Bull Salzburg,Tipp3 Bundesliga,2019-2020,16,0,3,0,51,26,129,12,63,2,0,0,0,0,29,15,19,21,2,0,0,3,0,1,0,0,14,983,11,3,6,3,
5727,A. Hakimi,Defender,22,Spain,Morocco,181.0,73.0,7.084375,Borussia Dortmund,Bundesliga 1,2019-2020,5,0,10,0,37,19,1694,36,83,54,1,28,84,45,116,73,48,23,5,0,0,0,0,0,0,0,33,2715,29,4,4,4,
5728,A. Hakimi,Defender,22,Spain,Morocco,181.0,73.0,6.957142,Borussia Dortmund,Bundesliga 1,2018-2019,2,0,4,0,20,5,1146,11,85,19,4,29,223,123,61,38,36,14,4,0,0,0,0,0,0,0,21,1740,19,2,2,8,
5770,M. Saracchi,Defender,22,Uruguay,Uruguay,172.0,69.0,7.20909,Galatasaray,Super Lig,2019-2020,2,0,4,0,8,3,412,9,80,28,2,24,70,39,14,9,11,14,5,0,0,0,1,0,0,0,14,1143,14,0,3,0,
5830,I. Konaté,Defender,21,France,France,192.0,93.0,7.044444,RB Leipzig,Bundesliga 1,2018-2019,1,0,1,0,13,4,788,6,71,32,18,58,285,188,26,22,25,37,7,0,0,0,1,0,0,0,28,2430,27,1,0,3,
5894,Matheus Santos Carneiro da Cunha,Attacker,21,Brazil,Brazil,184.0,75.0,7.25,RB Leipzig,UEFA Europa League,2018-2019,6,0,0,0,20,8,99,13,68,8,0,1,106,44,14,8,17,11,2,0,0,0,0,0,0,0,12,997,12,0,4,0,
5895,D. Upamecano,Defender,22,France,France,185.0,83.0,7.074074,RB Leipzig,Bundesliga 1,2019-2020,0,0,1,0,13,4,1664,9,88,47,15,40,51,27,38,29,13,25,7,0,1,0,0,0,0,0,28,2359,27,1,2,1,
5897,D. Upamecano,Defender,22,France,France,185.0,83.0,7.035714,RB Leipzig,Bundesliga 1,2017-2018,3,0,0,0,10,7,1224,9,81,5,2,55,297,182,19,13,11,32,3,0,1,0,3,0,0,0,28,2265,25,3,1,4,
5945,Daniel Olmo,Midfielder,22,Spain,Spain,176.0,68.0,7.1625,Dinamo Zagreb,UEFA Champions League,2019-2020,5,0,2,0,19,3,141,12,68,11,3,6,0,0,49,23,21,4,0,0,0,0,0,0,0,0,11,909,10,1,3,1,
5946,Daniel Olmo,Midfielder,22,Spain,Spain,176.0,68.0,7.26,Dinamo Zagreb,UEFA Europa League,2018-2019,2,0,2,0,16,8,238,20,70,3,0,8,153,88,55,30,36,9,1,0,0,1,0,0,0,0,10,926,10,0,2,0,
5990,A. Haidara,Midfielder,22,Mali,Mali,175.0,68.0,7.357142,Red Bull Salzburg,Tipp3 Bundesliga,2017-2018,3,0,5,0,57,11,863,28,73,10,1,43,298,181,50,28,24,35,4,0,0,1,0,0,0,0,31,1818,20,11,11,15,
5997,A. Haidara,Midfielder,22,Mali,Mali,175.0,68.0,7.007142,Red Bull Salzburg,UEFA Europa League,2017-2018,3,0,0,0,25,4,367,8,69,15,0,23,252,125,37,23,12,28,2,0,1,0,0,0,0,0,16,1264,14,2,8,2,
6571,A. Bastoni,Defender,21,Italy,Italy,190.0,75.0,6.995833,Inter,Serie A,2019-2020,2,0,0,0,8,4,1179,10,88,30,9,25,63,39,14,11,28,36,8,0,1,0,1,0,0,0,25,1922,21,4,4,15,
6739,M. Müldür,Defender,21,Austria,Turkey,188.0,74.0,6.9879999999999995,Rapid Vienna,Tipp3 Bundesliga,2018-2019,0,0,2,0,17,7,764,12,73,49,8,55,264,152,39,25,21,33,5,0,0,0,0,0,0,0,26,1917,20,6,3,14,
